repo_id,repo_name,repo_url,repo_api_url,contributor_id,contributor_login,contributor_type,contributor_url,contributor_api_url,timestamp_extract
52244477,sombriks/microdados-brutos,https://github.com/sombriks/microdados-brutos,https://api.github.com/repos/sombriks/microdados-brutos,556695,sombriks,User,https://github.com/sombriks,https://api.github.com/users/sombriks,1589925148
52244477,sombriks/microdados-brutos,https://github.com/sombriks/microdados-brutos,https://api.github.com/repos/sombriks/microdados-brutos,2651755,fernandiego,User,https://github.com/fernandiego,https://api.github.com/users/fernandiego,1589925148
102823174,generonumero/educacao,https://github.com/generonumero/educacao,https://api.github.com/repos/generonumero/educacao,186126,turicas,User,https://github.com/turicas,https://api.github.com/users/turicas,1589925164
206375532,Lorenaps/caracterizacao-dados-abertos-gov,https://github.com/Lorenaps/caracterizacao-dados-abertos-gov,https://api.github.com/repos/Lorenaps/caracterizacao-dados-abertos-gov,9660774,Lorenaps,User,https://github.com/Lorenaps,https://api.github.com/users/Lorenaps,1589925165
224536388,jesspiires/microdadosEnem_Deficit_Atencao,https://github.com/jesspiires/microdadosEnem_Deficit_Atencao,https://api.github.com/repos/jesspiires/microdadosEnem_Deficit_Atencao,56441375,jesspiires,User,https://github.com/jesspiires,https://api.github.com/users/jesspiires,1589925165
155470617,leonardojs1981/analise_enem_2,https://github.com/leonardojs1981/analise_enem_2,https://api.github.com/repos/leonardojs1981/analise_enem_2,27903484,leonardojs1981,User,https://github.com/leonardojs1981,https://api.github.com/users/leonardojs1981,1589925168
172548285,repitta/Livros-e-Artigos-,https://github.com/repitta/Livros-e-Artigos-,https://api.github.com/repos/repitta/Livros-e-Artigos-,47857173,repitta,User,https://github.com/repitta,https://api.github.com/users/repitta,1589925170
43339686,lucachaves/idebpb,https://github.com/lucachaves/idebpb,https://api.github.com/repos/lucachaves/idebpb,205412,lucachaves,User,https://github.com/lucachaves,https://api.github.com/users/lucachaves,1589925172
181704903,Krieffer/Analise-da-Insercao-do-Aluno-Negro-com-BI,https://github.com/Krieffer/Analise-da-Insercao-do-Aluno-Negro-com-BI,https://api.github.com/repos/Krieffer/Analise-da-Insercao-do-Aluno-Negro-com-BI,26579761,Krieffer,User,https://github.com/Krieffer,https://api.github.com/users/Krieffer,1589925173
181704903,Krieffer/Analise-da-Insercao-do-Aluno-Negro-com-BI,https://github.com/Krieffer/Analise-da-Insercao-do-Aluno-Negro-com-BI,https://api.github.com/repos/Krieffer/Analise-da-Insercao-do-Aluno-Negro-com-BI,42585434,MarceloZer4,User,https://github.com/MarceloZer4,https://api.github.com/users/MarceloZer4,1589925173
