title,pubDate,link,source,timestamp_extract
Projeto de escola vira sistema para poupar água e aumentar lucro nas lavouras - Zero Hora,"Fri, 25 Oct 2019 07:00:00 GMT",https://gauchazh.clicrbs.com.br/tecnologia/noticia/2019/10/projeto-de-escola-vira-sistema-para-poupar-agua-e-aumentar-lucro-nas-lavouras-ck25byrsz09hn01r2zx5xvx5w.html,Zero Hora,1573072613
Climatempo apresenta novo aplicativo que monitora alagamentos em áreas urbanas na 6ª RM Vale TI - Portal Meon,"Thu, 24 Oct 2019 07:00:00 GMT",http://www.meon.com.br/noticias/regiao/climatempo-apresenta-novo-aplicativo-que-monitora-alagamentos-em-areas-urbanas-na-6a-rm-vale-ti,Portal Meon,1573072613
Estudantes de escola pública do Ceará selecionadas para intercâmbio nos EUA - Ceará,"Thu, 31 Oct 2019 19:11:00 GMT",https://www.ceara.gov.br/2019/10/31/programa-jovens-embaixadores-seleciona-estudantes-cearenses-para-intercambio-nos-eua/,Ceará,1573072613
97% das obras de infraestrutura em Santa Catarina estão atrasadas ou paradas - OCP News,"Tue, 08 Oct 2019 07:00:00 GMT",https://ocp.news/economia/97-das-obras-de-infraestrutura-em-santa-catarina-estao-atrasadas-ou-paradas,OCP News,1573072613
Óleo pode restringir trabalho de 144 mil profissionais da pesca - Folha de S.Paulo,"Sun, 20 Oct 2019 07:00:00 GMT",https://www1.folha.uol.com.br/ambiente/2019/10/oleo-pode-restringir-trabalho-de-144-mil-profissionais-da-pesca.shtml,Folha de S.Paulo,1573072613
"Em queda livre, Moro perde espaço no governo, no TCU e nas redes - Diário do Centro do Mundo","Fri, 11 Oct 2019 07:00:00 GMT",https://www.diariodocentrodomundo.com.br/essencial/em-queda-livre-moro-perde-espaco-no-governo-no-tcu-e-nas-redes/,Diário do Centro do Mundo,1573072613
Relatório da União sobre ajuste fiscal diz que Estado do Rio não cumprirá cinco medidas propostas - Jornal O Globo,"Wed, 16 Oct 2019 07:00:00 GMT",https://oglobo.globo.com/rio/relatorio-da-uniao-sobre-ajuste-fiscal-diz-que-estado-do-rio-nao-cumprira-cinco-medidas-propostas-24020725,Jornal O Globo,1573072613
Deficientes físicos recebem cadeiras de rodas motorizadas no Cridac - O Documento,"Thu, 31 Oct 2019 20:45:00 GMT",https://odocumento.com.br/deficientes-fisicos-recebem-cadeiras-de-rodas-motorizadas-no-cridac/,O Documento,1573072613
Governo Bolsonaro monitora crimes com banco de dados incompleto - Folha de S.Paulo,"Sat, 06 Jul 2019 07:00:00 GMT",https://www1.folha.uol.com.br/cotidiano/2019/07/governo-bolsonaro-monitora-crimes-com-banco-de-dados-incompleto.shtml,Folha de S.Paulo,1573072613
Secretaria monitora ocupações ilegais no DF por meio de imagens de satélite - Agência Brasília,"Fri, 23 Aug 2019 07:00:00 GMT",https://www.agenciabrasilia.df.gov.br/2019/08/23/secretaria-monitora-ocupacoes-ilegais-no-df-por-meio-de-imagens-de-satelite/,Agência Brasília,1573072613
Os 5 assuntos que vão movimentar o mercado nesta quinta-feira - InfoMoney,"Thu, 10 Oct 2019 07:00:00 GMT",https://www.infomoney.com.br/mercados/os-5-assuntos-que-vao-movimentar-o-mercado-nesta-quinta-feira-101019/,InfoMoney,1573072613
Transparência Secretaria de Segurança Pública se nega a passar dados de mortos por policiais em Goiás - O Popular,"Mon, 14 Oct 2019 07:00:00 GMT",https://www.opopular.com.br/noticias/cidades/secretaria-de-seguran%C3%A7a-p%C3%BAblica-se-nega-a-passar-dados-de-mortos-por-policiais-em-goi%C3%A1s-1.1908950,O Popular,1573072613
